omega,amp
5.5,0.0860598099088769
5.415254237288136,0.08879182066402662
5.330508474576272,0.09192076313334305
5.245762711864407,0.0950032018276318
5.161016949152542,0.0981196704360157
5.076271186440678,0.10154293425008978
4.991525423728813,0.10517011492174767
4.906779661016949,0.10886360659102015
4.822033898305085,0.11288177843701448
4.737288135593221,0.11729881401842132
4.652542372881356,0.12160879552374769
4.567796610169491,0.12629709837659298
4.483050847457627,0.1313709697392339
4.398305084745763,0.13705736941723784
4.313559322033898,0.14246085139648443
4.228813559322034,0.14869500803903046
4.1440677966101696,0.155272172942484
4.059322033898305,0.16197366223768514
3.9745762711864407,0.16948051865068325
3.889830508474576,0.17764160014999833
3.805084745762712,0.18590385378517083
3.7203389830508478,0.195146643334633
3.635593220338983,0.20516841336542635
3.5508474576271185,0.21590176419040807
3.4661016949152543,0.22739147710441215
3.38135593220339,0.2400438934744147
3.2966101694915255,0.25406463057155326
3.211864406779661,0.26877476810874135
3.1271186440677967,0.285060064639445
3.0423728813559325,0.30353963601460754
2.957627118644068,0.3231383409332409
2.8728813559322033,0.3447941365930948
2.788135593220339,0.3695418940685341
2.703389830508475,0.3966676668260549
2.6186440677966103,0.42686464282480424
2.5338983050847457,0.46164550665356074
2.4491525423728815,0.5010517187846686
2.3644067796610173,0.5452820751263344
2.2796610169491527,0.5973457593527889
2.194915254237288,0.6576083065287162
2.110169491525424,0.728089784703341
2.0254237288135597,0.8134759000174658
1.940677966101695,0.9174185286687313
1.8559322033898304,1.0479248688290226
1.7711864406779663,1.2192628748192258
1.686440677966102,1.460239225449489
1.6016949152542375,1.8745028430211172
1.5169491525423728,4.886279148179992
1.4322033898305087,4.597233605220285
1.3474576271186445,4.314030049317118
1.2627118644067803,4.0383480531375096
1.1779661016949152,3.771905029188617
1.093220338983051,3.5204818961325364
1.0084745762711869,3.286660810375457
0.9237288135593218,3.0711483579297116
0.8389830508474576,2.881171820800178
0.7542372881355934,2.7182496783570382
0.6694915254237293,2.5893798713601885
0.5847457627118651,2.5103786447149865
0.5,2.540646312962949
