omega,amp
0.5,2.3407175053049
0.5847457627118644,2.124147521456705
0.6694915254237288,2.066535113905784
0.7542372881355932,2.0906782358161617
0.8389830508474576,2.1445022130441007
0.923728813559322,2.223743375870388
1.0084745762711864,2.31981782212916
1.0932203389830508,2.4279309660303796
1.1779661016949152,2.5478288863921215
1.2627118644067796,2.676157959678487
1.347457627118644,2.812901121592736
1.4322033898305084,2.9567090905878985
1.5169491525423728,3.10554722550699
1.6016949152542372,3.25943464387805
1.6864406779661016,3.4189495195873647
1.771186440677966,3.5773420997037046
1.8559322033898304,3.7414298847905103
1.9406779661016949,0.9718590165505729
2.0254237288135593,0.8441192716612935
2.110169491525424,0.7476105701761182
2.194915254237288,0.6699435417549734
2.2796610169491522,0.6052469837661578
2.364406779661017,0.5512088571125501
2.4491525423728815,0.5050203313467805
2.5338983050847457,0.46423095503996115
2.61864406779661,0.42951540837992636
2.7033898305084745,0.39849855388759337
2.788135593220339,0.37024513654937413
2.8728813559322033,0.3458819241529788
2.9576271186440675,0.3236660761959489
3.042372881355932,0.3035054775848415
3.1271186440677967,0.28557797558163317
3.211864406779661,0.26926295092899244
3.296610169491525,0.25392912007643814
3.3813559322033897,0.24024953635371432
3.4661016949152543,0.22770250901419464
3.5508474576271185,0.21592160715573422
3.6355932203389827,0.20515020150015223
3.7203389830508473,0.19534842124874774
3.805084745762712,0.18618951790219934
3.889830508474576,0.17753651620138655
3.9745762711864403,0.16960191864501448
4.0593220338983045,0.1621589458699867
4.1440677966101696,0.1552499403565622
4.228813559322034,0.14861552368482334
4.313559322033898,0.14261097170134618
4.398305084745763,0.1368392262736468
4.483050847457627,0.13137513376040783
4.567796610169491,0.12646768756927484
4.6525423728813555,0.12168086344964864
4.73728813559322,0.11709738015972518
4.822033898305085,0.11303218446286804
4.906779661016949,0.10908511103745663
4.991525423728813,0.10508830137520006
5.076271186440678,0.10151248053223548
5.161016949152542,0.09837529975521386
5.245762711864407,0.09491770612800268
5.330508474576271,0.09175892866484901
5.415254237288135,0.08878013004001514
5.5,0.086231634722723
