omega,amp
5.5,0.08606162332143905
5.415254237288136,0.0887921520130131
5.330508474576272,0.09192476460899644
5.245762711864407,0.09499471793918085
5.161016949152542,0.098120317549803
5.076271186440678,0.1015415589809164
4.991525423728813,0.1051884315035381
4.906779661016949,0.10887326544059109
4.822033898305085,0.11287631601915699
4.737288135593221,0.11728808037768118
4.652542372881356,0.12160131386927055
4.567796610169491,0.1262903412877444
4.483050847457627,0.13136028542464728
4.398305084745763,0.13702834530966165
4.313559322033898,0.14244570335539658
4.228813559322034,0.14867258325130187
4.1440677966101696,0.15525471824150283
4.059322033898305,0.16195009669930344
3.9745762711864407,0.16945487748366272
3.889830508474576,0.17760895911317787
3.805084745762712,0.18584290558403987
3.7203389830508478,0.19512214861677474
3.635593220338983,0.20520358351051593
3.5508474576271185,0.21581420738502888
3.4661016949152543,0.22730101721222265
3.38135593220339,0.23998188036677187
3.2966101694915255,0.2537668847403114
3.211864406779661,0.26851833926622704
3.1271186440677967,0.28492498081793766
3.0423728813559325,0.3029569306768986
2.957627118644068,0.32263878662554946
2.8728813559322033,0.34438241150001436
2.788135593220339,0.3687003805698392
2.703389830508475,0.3960176671720149
2.6186440677966103,0.42584085686824324
2.5338983050847457,0.46014984517939905
2.4491525423728815,0.49917879529784603
2.3644067796610173,0.5425852857459526
2.2796610169491527,0.593606240257216
2.194915254237288,0.6519437610036012
2.110169491525424,0.7198021993110806
2.0254237288135597,0.800424994778169
1.940677966101695,0.8963923085689529
1.8559322033898304,1.0125561828652803
1.7711864406779663,1.1553658862189478
1.686440677966102,1.3350926096234585
1.6016949152542375,1.5664907521648224
1.5169491525423728,1.8733796941818266
1.4322033898305087,2.2968229375729825
1.3474576271186445,2.912897147176115
1.2627118644067803,3.8745283955969416
1.1779661016949152,5.514652982322722
1.093220338983051,8.532122539052102
1.0084745762711869,12.342084386731681
0.9237288135593218,10.587977238417153
0.8389830508474576,7.342370901297768
0.7542372881355934,5.475186565424506
0.6694915254237293,4.402657136617463
0.5847457627118651,3.742602286141091
0.5,3.3041579325476422
