delta,beta,steady_time
0.1,0.5,54.300000000000004
0.1,0.5204081632653061,55.550000000000004
0.1,0.5408163265306123,56.900000000000006
0.1,0.5612244897959183,10.9
0.1,0.5816326530612245,82.85000000000001
0.1,0.6020408163265306,80.55000000000001
0.1,0.6224489795918368,78.9
0.1,0.6428571428571428,77.5
0.1,0.6632653061224489,76.25
0.1,0.6836734693877551,85.7
0.1,0.7040816326530612,84.60000000000001
0.1,0.7244897959183674,83.9
0.1,0.7448979591836735,82.9
0.1,0.7653061224489796,82.35000000000001
0.1,0.7857142857142857,81.4
0.1,0.8061224489795917,80.9
0.1,0.8265306122448979,79.95
0.1,0.846938775510204,79.5
0.1,0.8673469387755102,79.05000000000001
0.1,0.8877551020408163,78.30000000000001
0.1,0.9081632653061225,77.9
0.1,0.9285714285714286,77.55000000000001
0.1,0.9489795918367346,76.75
0.1,0.9693877551020408,76.35000000000001
0.1,0.9897959183673469,75.95
0.1,1.010204081632653,75.2
0.1,1.030612244897959,74.85000000000001
0.1,1.0510204081632653,74.55
0.1,1.0714285714285714,74.3
0.1,1.0918367346938775,73.7
0.1,1.1122448979591835,73.4
0.1,1.1326530612244898,73.10000000000001
0.1,1.1530612244897958,72.85000000000001
0.1,1.1734693877551021,72.60000000000001
0.1,1.193877551020408,71.95
0.1,1.2142857142857142,71.65
0.1,1.2346938775510203,71.35000000000001
0.1,1.2551020408163265,71.15
0.1,1.2755102040816326,70.55
0.1,1.2959183673469385,70.25
0.1,1.316326530612245,69.95
0.1,1.3367346938775508,69.7
0.1,1.3571428571428572,69.5
0.1,1.3775510204081631,69.25
0.1,1.3979591836734693,68.75
0.1,1.4183673469387754,68.55
0.1,1.4387755102040816,68.4
0.1,1.4591836734693877,68.25
0.1,1.4795918367346939,68.15
0.1,1.5,76.10000000000001
0.10816326530612246,0.5,50.2
0.10816326530612246,0.5204081632653061,51.5
0.10816326530612246,0.5408163265306123,49.900000000000006
0.10816326530612246,0.5612244897959183,53.0
0.10816326530612246,0.5816326530612245,84.0
0.10816326530612246,0.6020408163265306,80.7
0.10816326530612246,0.6224489795918368,78.85000000000001
0.10816326530612246,0.6428571428571428,77.45
0.10816326530612246,0.6632653061224489,76.15
0.10816326530612246,0.6836734693877551,75.0
0.10816326530612246,0.7040816326530612,74.3
0.10816326530612246,0.7244897959183674,73.25
0.10816326530612246,0.7448979591836735,72.7
0.10816326530612246,0.7653061224489796,71.8
0.10816326530612246,0.7857142857142857,71.3
