alpha,omega,steady_time
-0.45918367346938777,4.908163265306123,10.4
-0.45918367346938777,5.0,2.5100000000000002
-0.41836734693877553,0.5,62.53
-0.41836734693877553,0.5918367346938775,34.35
-0.41836734693877553,0.6836734693877551,149.99
-0.41836734693877553,0.7755102040816326,30.21
-0.41836734693877553,0.8673469387755102,31.6
-0.41836734693877553,0.9591836734693877,51.89
-0.41836734693877553,1.0510204081632653,48.36
-0.41836734693877553,1.1428571428571428,52.06
-0.41836734693877553,1.2346938775510203,43.69
-0.41836734693877553,1.3265306122448979,37.81
-0.41836734693877553,1.4183673469387754,46.14
-0.41836734693877553,1.5102040816326532,43.02
-0.41836734693877553,1.6020408163265307,40.800000000000004
-0.41836734693877553,1.6938775510204083,43.43
-0.41836734693877553,1.7857142857142858,29.59
-0.41836734693877553,1.8775510204081634,64.57000000000001
-0.41836734693877553,1.969387755102041,114.72
-0.41836734693877553,2.0612244897959187,149.99
-0.41836734693877553,2.1530612244897958,14.13
-0.41836734693877553,2.2448979591836737,10.92
-0.41836734693877553,2.336734693877551,7.05
-0.41836734693877553,2.428571428571429,5.17
-0.41836734693877553,2.5204081632653064,4.97
-0.41836734693877553,2.612244897959184,7.57
-0.41836734693877553,2.7040816326530615,7.65
-0.41836734693877553,2.795918367346939,7.67
-0.41836734693877553,2.8877551020408165,7.63
-0.41836734693877553,2.979591836734694,7.53
-0.41836734693877553,3.0714285714285716,7.41
-0.41836734693877553,3.163265306122449,7.36
-0.41836734693877553,3.2551020408163267,7.38
-0.41836734693877553,3.3469387755102042,10.65
-0.41836734693877553,3.438775510204082,10.59
-0.41836734693877553,3.5306122448979593,10.540000000000001
-0.41836734693877553,3.622448979591837,10.51
-0.41836734693877553,3.7142857142857144,10.51
-0.41836734693877553,3.806122448979592,10.52
-0.41836734693877553,3.8979591836734695,10.540000000000001
-0.41836734693877553,3.989795918367347,10.55
-0.41836734693877553,4.081632653061225,10.58
-0.41836734693877553,4.173469387755102,10.6
-0.41836734693877553,4.26530612244898,10.59
-0.41836734693877553,4.357142857142858,10.6
-0.41836734693877553,4.448979591836735,10.6
