time,x,v
0.0,0.0,0.0
0.01,0.0006000000000000001,0.11993400002472993
0.02,0.0023986800004945985,0.23972410603216343
0.03,0.005394482120643269,0.35934652327397704
0.04,0.009585610465974139,0.4787774722065653
0.05,0.014970031564774574,0.5979932177786262
0.06,0.021545474821546666,0.7169700704804622
0.07,0.02930943297438382,0.8356843858814229
0.08,0.03825916253917513,0.9541125622780953
0.09,0.04839168421994573,1.0722310360979004
0.1,0.05970378326113314,1.1900162747122627
0.11,0.07219200971419099,1.307444766324034
0.12,0.08585267858761382,1.424493006605361
0.13,0.1006818698462982,1.5411374817746581
0.14,0.11667542822310699,1.6573546478147851
0.15,0.13382896280259393,1.7731209055488968
0.16,0.15213784633408495,1.888412571305753
0.17,0.171597214228709,2.003205842922518
0.18,0.1922019631925353,2.117476760850264
0.19,0.21394674944571426,2.2312011641455207
0.2,0.2368259864754457,2.3443546411503067
0.21,0.2608338422687204,2.456912474683172
0.22,0.28596423596910914,2.5688495815848764
0.23,0.31221083390041793,2.680140446484534
0.24,0.33956704489879985,2.7907590496753603
0.25,0.36802601489392517,2.9006787890136874
0.26,0.3975806206790736,3.0098723957807114
0.27,0.4282234628095394,3.1183118444736255
0.28,0.4599468575685461,3.2259682565214596
0.29,0.4927428279399686,3.3328117979512224
0.3,0.5266030935275705,3.4388115710619527
0.31,0.5615190593612076,3.543935500198185
0.32,0.5974818035315342,3.648150211750255
0.33,0.6344820635962127,3.7514209085470105
0.34,0.6725102217024744,3.853711238846981
0.35000000000000003,0.7115562883731523,3.9549831601771124
0.36,0.7516098849060168,4.055196798313956
0.37,0.7926602243394315,4.1543103017508844
0.38,0.8346960909410345,4.2522796920467005
0.39,0.8777058181803655,4.349058710506041
0.4,0.9216772651511552,4.444598661700474
0.41000000000000003,0.966597791414375,4.538848254401223
0.42,1.0124542302391797,4.631753440560212
0.43,1.0592328602255792,4.723257253045659
0.44,1.1069193753000928,4.813299642911869
0.45,1.1554988530838164,4.901817317060122
0.46,1.2049557216412952,4.988743577228684
0.47000000000000003,1.2552737246283903,5.074008161334838
0.48,1.306435884867992,5.157537088280238
0.49,1.358424466393995,5.239252507422691
0.5,1.411220935016446,5.319072554012237
0.51,1.4648059174742398,5.3969112119866915
0.52,1.5191591592561797,5.472678185621146
0.53,1.5742594811866626,5.546278781626524
0.54,1.6300847348887102,5.617613803393387
0.55,1.6866117572545303,5.686579459177754
0.56,1.743816324072265,5.753067286124663
0.5700000000000001,1.8016731029770234,5.8169640921211565
0.58,1.8601556059146882,5.878151917561878
0.59,1.919236141328261,5.936508019195855
0.6,1.9788857662986052,5.991904878300305
0.61,2.039074238894267,6.044210235494527
0.62,2.099769971008495,6.093287154561672
0.63,2.1609399819855,6.138994117686115
0.64,2.222549853362217,6.18118515453645
0.65,2.2845636850762285,6.2197100076261425
0.66,2.34694405351474,6.254414336362534
0.67,2.4096519718034792,6.285139962147097
0.68,2.472646852757682,6.311725156812552
