omega,amplitude
3.5,0.2235350930117847
3.4491525423728815,0.23088641738031607
3.3983050847457625,0.23828849906551822
3.347457627118644,0.24630905830972988
3.2966101694915255,0.2555051458868083
3.2457627118644066,0.2637897587150622
3.194915254237288,0.27409197476956126
3.1440677966101696,0.28333958606114895
3.093220338983051,0.2939607043955289
3.042372881355932,0.30537889344335767
2.9915254237288136,0.3176347016849871
2.9406779661016946,0.3304896271525055
2.889830508474576,0.34430111164216115
2.8389830508474576,0.35873585583141643
2.788135593220339,0.3746055916762432
2.73728813559322,0.39163988165545327
2.6864406779661016,0.410263647611748
2.635593220338983,0.4303648740534089
2.584745762711864,0.4515665548631068
2.5338983050847457,0.4752905304488507
2.483050847457627,0.5016436591380318
2.4322033898305087,0.5302162548157339
2.3813559322033897,0.5630910083791757
2.330508474576271,0.5990857856457867
2.2796610169491522,0.6408772478247593
2.2288135593220337,2.602759383325594
2.1779661016949152,0.7500979071545599
2.1271186440677967,2.498487856264443
2.0762711864406778,2.4466972857273994
2.0254237288135593,2.3958074683998025
1.9745762711864405,2.3453461174514763
1.923728813559322,2.2961996637019864
1.8728813559322033,2.246689185668974
1.8220338983050846,2.1981383342222265
1.771186440677966,2.150433046874162
1.7203389830508473,2.1040756547690282
1.6694915254237288,2.058763409543525
1.61864406779661,2.01386630619929
1.5677966101694913,1.970216231813501
1.5169491525423728,1.927640699442974
1.4661016949152543,1.8865515577683942
1.4152542372881354,1.8470615867707036
1.3644067796610169,1.808424429948177
1.3135593220338984,1.7720770435476347
1.2627118644067794,1.737344961146935
1.211864406779661,1.704620945669192
1.1610169491525424,1.674154523744722
1.1101694915254234,1.645880667846296
1.059322033898305,1.6208853038290578
1.0084745762711864,1.5990047917211223
0.9576271186440675,1.5991319570941371
0.906779661016949,1.577171962004801
0.8559322033898304,1.5705644582615719
0.8050847457627115,1.566559960819684
0.754237288135593,1.5822853803643016
0.7033898305084745,1.6176793180853335
0.6525423728813555,1.6808576734616398
0.601694915254237,1.829840741880998
0.5508474576271185,1.4462694849241213
0.5,1.3387677016669515
