time,x,v
0.0,0.0,0.0
0.05,0.0031250000000000006,0.12427734475960205
0.1,0.012427734475960205,0.24692672678073496
0.15000000000000002,0.0278176726780735,0.36758426396931987
0.2,0.049186160872892196,0.48589206413655667
0.25,0.07640687909172916,0.6015017517621413
0.30000000000000004,0.10933633604910632,0.7140752137211397
0.35000000000000003,0.14781440046384312,0.823285292747564
0.4,0.1916648653238627,0.9288164099517462
0.45,0.24069604145901777,1.0303651140248813
0.5,0.2947013767263508,1.1276405571793706
0.55,0.3534600971769548,1.2203649003306904
0.6000000000000001,0.4167378667594199,1.3082736523726564
0.65,0.48428746241422044,1.3911159505566362
0.7000000000000001,0.5558494618150834,1.468654790886586
0.75,0.6311529415028789,1.5406672190244053
0.8,0.709916183717524,1.6069444934124353
0.8500000000000001,0.7918473908441225,1.6672922331210764
0.9,0.8766454070296316,1.7215305632898479
0.9500000000000001,0.9640004471731073,1.7694942709317207
1.0,1.0535948341228036,1.8110329833069159
1.05,1.1451037455037987,1.846011380048873
1.1,1.2381959721276907,1.874309448758545
1.1500000000000001,1.332534690379653,1.895822791901423
1.2000000000000002,1.427778251317833,1.9104629905834913
1.25,1.5235809894380021,1.9181580281966422
1.3,1.6195940541374971,1.9188527740698984
1.35,1.715466266844992,1.9125095242082122
1.4000000000000001,1.8108450065583186,1.899108593022282
1.4500000000000002,1.9053771261472205,1.8786489467349436
1.5,1.998709901231813,1.8511488659827349
1.55,2.090492012745494,1.8166466221105146
1.6,2.1803745634428644,1.7752011488807358
1.6500000000000001,2.2680121276335674,1.7268926888859153
1.7000000000000002,2.353063832331456,1.67182339195971
1.75,2.4351944668295387,1.6101178414202957
1.8,2.5140756164734857,1.5419234831323512
1.85,2.589386815142774,1.46741093221157
1.9000000000000001,2.6608167096946427,1.386774132773022
1.9500000000000002,2.728064228420076,1.3002303474771797
2.0,2.7908397444423607,1.2080199557675693
2.0500000000000003,2.848866223996833,1.1104060426089615
2.1,2.901880348703257,1.0076737631846098
2.15,2.9496336003152943,0.9001294733269156
2.2,2.991893296035949,0.7880996203417805
2.25,3.0284435623494725,0.6719293942202901
2.3000000000000003,3.059086235457978,0.5519811448665135
2.35,3.083641676836124,0.42863257674250543
2.4000000000000004,3.1019494931322287,0.30227473806325084
2.45,3.113869150642449,0.17330982718091292
2.5,3.11928047585032,0.042148843895745636
2.5500000000000003,3.1180840350320236,-0.09079088205461686
2.6,3.1102013876448584,-0.22508824930391388
2.6500000000000004,3.0955752101016323,-0.3603209910465497
2.7,3.074169288540203,-0.49606828827978855
2.75,3.0459683812736533,-0.6319133484162418
2.8000000000000003,3.010977953698579,-0.7674459078177723
2.85,2.969223790491876,-0.9022646181187298
2.9000000000000004,2.920751491886706,-1.035979278561872
2.95,2.865625862635689,-1.168212879883666
3.0,2.80393020389834,-1.2986034294439193
3.0500000000000003,2.7357655196912973,-1.4268055321582545
3.1,2.6612496506825143,-1.5524917072012738
3.1500000000000004,2.58051634897117,-1.6753534262313539
3.2,2.493714308059379,-1.7951018648679804
3.25,2.401006162484372,-1.9114683651552133
3.3000000000000003,2.3025674715438575,-2.024204612605602
3.35,2.1985857012238115,-2.1330825369885735
3.4000000000000004,2.089259217845,-2.2378939511771825
3.45,1.9747963061060931,-2.3384499469920828
3.5,1.8554142231457917,-2.434580071002297
3.5500000000000003,1.7313382990058634,-2.526131306605706
3.6,1.6028010924852212,-2.612966891390605
3.6500000000000004,1.470041609866803,-2.694965000769159
3.7,1.3333045924083051,-2.7720173301910265
3.75,1.1928398768477002,-2.8440276089248253
3.8000000000000003,1.0489018315158227,-2.9109100784839743
3.85,0.901748868999303,-2.9725879683283694
3.9000000000000004,0.7516430346829859,-3.0289920005561215
3.95,0.5988496689436908,-3.0800589539733165
4.0,0.4436371392856542,-3.1257303162554813
4.05,0.2862766373181427,-3.165951050948273
4.1000000000000005,0.12704203419082685,-3.2006685038458054
4.15,-0.03379021306643786,-3.2298314708732674
4.2,-0.19594111289649993,-3.2533894470168185
4.25,-0.3591291577681198,-3.271292073109244
4.3,-0.5230703202074244,-3.283488794406456
4.3500000000000005,-0.6874780372087654,-3.289928741881572
4.4,-0.8520631943955815,-3.290560844017587
4.45,-1.0165341216105241,-3.2853341735901065
4.5,-1.1805966117545923,-3.2741985304900854
4.55,-1.3439539746595328,-3.2571052580362467
4.6000000000000005,-1.506307137558217,-3.234008286465327
4.65,-1.6673548033060654,-3.2048653933704045
4.7,-1.8267936768952575,-3.1696396667986475
4.75,-1.9843187699859304,-3.1283011525482958
4.800000000000001,-2.139623792150087,-3.0808286629645787
4.8500000000000005,-2.292401636282388,-3.0272117202867443
4.9,-2.4423449641787616,-2.967452603422932
4.95,-2.589146896624681,-2.901568463023965
5.0,-2.732501810481158,-2.8295934660061812
5.050000000000001,-2.8721062432252995,-2.751580927366916
5.1000000000000005,-3.0076599032178497,-2.6676053843852396
5.15,-3.138866781663823,-2.577764566252227
5.2,-3.265436359843072,-2.482181210976754
5.25,-3.3870849027614987,-2.381004681204603
5.300000000000001,-3.5035368279635324,-2.274412331495097
5.3500000000000005,-3.6145261359110084,-2.1626105817212786
5.4,-3.71979788613566,-2.0458356546647956
5.45,-3.8191097013774877,-1.9243539405927794
5.5,-3.912233280194938,-1.798461957611178
5.550000000000001,-3.998955897138605,-1.668485883815022
5.6000000000000005,-4.0790818685764405,-1.5347806455734996
5.65,-4.152433961695955,-1.3977285555139756
5.7,-4.218854724127837,-1.2577375036698255
5.75,-4.278207712062938,-1.115238715552321
5.800000000000001,-4.33037859568307,-0.9706841012812008
5.8500000000000005,-4.375276122191058,-0.8245432300230505
5.9,-4.412832918685374,-0.6772999734936563
5.95,-4.4430061195404225,-0.5294488708401801
6.0,-4.465777805769392,-0.3814912745156655
6.050000000000001,-4.481155246991989,-0.23393134251684794
6.1000000000000005,-4.489170940021076,-0.08727194635626495
6.15,-4.489882441627615,0.0579894337721171
6.2,-4.483371996643864,0.20136475507622192
6.25,-4.469745966119993,0.34237932983060915
6.300000000000001,-4.449134063660804,0.48057554875234565
6.3500000000000005,-4.421688411244759,0.6155163497658054
6.4,-4.387582428684223,0.7467883789102291
6.45,-4.347009573353736,0.8740047984701748
6.5,-4.3001819488372055,0.996807706667807
6.550000000000001,-4.247328802686955,1.1148701431056753
6.6000000000000005,-4.188694934526638,1.2278976642404331
6.65,-4.124539036262911,1.3356294831622044
6.7,-4.055131986210418,1.4378391775352293
6.75,-3.980755118509389,1.5343349784436626
6.800000000000001,-3.9016984883660513,1.6249596608487158
6.8500000000000005,-3.818259152424517,1.7095900632190881
6.9,-3.730739482044142,1.7881362695211378
6.95,-3.6394455254724027,1.8605404910798322
