alpha,beta,steady_time
-0.5,0.0,149.99
-0.5,0.030612244897959183,149.99
-0.5,0.061224489795918366,149.99
-0.5,0.09183673469387754,149.99
-0.5,0.12244897959183673,149.99
-0.5,0.15306122448979592,149.99
-0.5,0.18367346938775508,149.99
-0.5,0.21428571428571427,71.11
-0.5,0.24489795918367346,64.33
-0.5,0.2755102040816326,149.99
-0.5,0.30612244897959184,118.41
-0.5,0.336734693877551,24.92
-0.5,0.36734693877551017,17.53
-0.5,0.3979591836734694,149.99
-0.5,0.42857142857142855,9.05
-0.5,0.45918367346938777,7.45
-0.5,0.4897959183673469,6.2700000000000005
-0.5,0.5204081632653061,6.2700000000000005
-0.5,0.5510204081632653,11.35
-0.5,0.5816326530612245,149.99
-0.5,0.6122448979591837,8.16
-0.5,0.6428571428571428,9.24
-0.5,0.673469387755102,19.11
-0.5,0.7040816326530612,20.71
-0.5,0.7346938775510203,16.91
-0.5,0.7653061224489796,21.55
-0.5,0.7959183673469388,33.78
-0.5,0.826530612244898,30.43
-0.5,0.8571428571428571,149.99
-0.5,0.8877551020408163,126.04
-0.5,0.9183673469387755,67.43
-0.5,0.9489795918367346,25.48
-0.5,0.9795918367346939,65.59
-0.5,1.010204081632653,120.68
-0.5,1.0408163265306123,77.14
-0.5,1.0714285714285714,59.33
-0.5,1.1020408163265305,44.21
-0.5,1.1326530612244898,16.79
-0.5,1.163265306122449,66.6
-0.5,1.193877551020408,95.71000000000001
-0.5,1.2244897959183674,29.89
-0.5,1.2551020408163265,32.47
-0.5,1.2857142857142856,67.28
-0.5,1.316326530612245,149.99
-0.5,1.346938775510204,12.02
-0.5,1.3775510204081631,19.87
-0.5,1.4081632653061225,149.99
-0.5,1.4387755102040816,22.55
-0.5,1.4693877551020407,149.99
-0.5,1.5,53.0
-0.45918367346938777,0.0,149.99
-0.45918367346938777,0.030612244897959183,149.99
-0.45918367346938777,0.061224489795918366,149.99
-0.45918367346938777,0.09183673469387754,149.99
-0.45918367346938777,0.12244897959183673,149.99
-0.45918367346938777,0.15306122448979592,149.99
-0.45918367346938777,0.18367346938775508,149.99
-0.45918367346938777,0.21428571428571427,149.99
-0.45918367346938777,0.24489795918367346,149.99
-0.45918367346938777,0.2755102040816326,149.99
-0.45918367346938777,0.30612244897959184,149.99
-0.45918367346938777,0.336734693877551,14.86
-0.45918367346938777,0.36734693877551017,8.73
-0.45918367346938777,0.3979591836734694,7.890000000000001
-0.45918367346938777,0.42857142857142855,8.43
-0.45918367346938777,0.45918367346938777,6.2700000000000005
-0.45918367346938777,0.4897959183673469,6.2700000000000005
-0.45918367346938777,0.5204081632653061,11.34
-0.45918367346938777,0.5510204081632653,7.99
-0.45918367346938777,0.5816326530612245,8.35
-0.45918367346938777,0.6122448979591837,16.13
-0.45918367346938777,0.6428571428571428,13.32
-0.45918367346938777,0.673469387755102,23.23
-0.45918367346938777,0.7040816326530612,10.51
-0.45918367346938777,0.7346938775510203,20.98
-0.45918367346938777,0.7653061224489796,149.99
-0.45918367346938777,0.7959183673469388,126.23
-0.45918367346938777,0.826530612244898,149.99
-0.45918367346938777,0.8571428571428571,96.47
-0.45918367346938777,0.8877551020408163,34.93
-0.45918367346938777,0.9183673469387755,132.4
-0.45918367346938777,0.9489795918367346,23.98
-0.45918367346938777,0.9795918367346939,23.740000000000002
-0.45918367346938777,1.010204081632653,23.41
-0.45918367346938777,1.0408163265306123,23.580000000000002
-0.45918367346938777,1.0714285714285714,104.48
-0.45918367346938777,1.1020408163265305,100.81
-0.45918367346938777,1.1326530612244898,51.75
-0.45918367346938777,1.163265306122449,106.17
-0.45918367346938777,1.193877551020408,50.46
-0.45918367346938777,1.2244897959183674,36.79
-0.45918367346938777,1.2551020408163265,48.1
-0.45918367346938777,1.2857142857142856,22.93
-0.45918367346938777,1.316326530612245,15.3
-0.45918367346938777,1.346938775510204,149.99
-0.45918367346938777,1.3775510204081631,149.99
-0.45918367346938777,1.4081632653061225,36.13
-0.45918367346938777,1.4387755102040816,68.57000000000001
-0.45918367346938777,1.4693877551020407,149.99
-0.45918367346938777,1.5,57.17
-0.41836734693877553,0.0,149.99
-0.41836734693877553,0.030612244897959183,58.09
-0.41836734693877553,0.061224489795918366,149.99
-0.41836734693877553,0.09183673469387754,149.99
-0.41836734693877553,0.12244897959183673,149.99
-0.41836734693877553,0.15306122448979592,149.99
-0.41836734693877553,0.18367346938775508,11.700000000000001
-0.41836734693877553,0.21428571428571427,11.09
-0.41836734693877553,0.24489795918367346,10.82
-0.41836734693877553,0.2755102040816326,10.53
-0.41836734693877553,0.30612244897959184,8.58
-0.41836734693877553,0.336734693877551,8.39
-0.41836734693877553,0.36734693877551017,8.81
-0.41836734693877553,0.3979591836734694,14.5
-0.41836734693877553,0.42857142857142855,6.2700000000000005
-0.41836734693877553,0.45918367346938777,6.28
-0.41836734693877553,0.4897959183673469,7.58
-0.41836734693877553,0.5204081632653061,8.02
-0.41836734693877553,0.5510204081632653,9.56
-0.41836734693877553,0.5816326530612245,18.92
-0.41836734693877553,0.6122448979591837,16.580000000000002
-0.41836734693877553,0.6428571428571428,18.42
-0.41836734693877553,0.673469387755102,15.11
-0.41836734693877553,0.7040816326530612,26.1
-0.41836734693877553,0.7346938775510203,149.99
-0.41836734693877553,0.7653061224489796,90.8
-0.41836734693877553,0.7959183673469388,57.68
-0.41836734693877553,0.826530612244898,97.55
-0.41836734693877553,0.8571428571428571,91.61
-0.41836734693877553,0.8877551020408163,94.9
-0.41836734693877553,0.9183673469387755,149.99
-0.41836734693877553,0.9489795918367346,105.2
-0.41836734693877553,0.9795918367346939,109.16
-0.41836734693877553,1.010204081632653,70.42
-0.41836734693877553,1.0408163265306123,37.7
-0.41836734693877553,1.0714285714285714,131.78
-0.41836734693877553,1.1020408163265305,65.57000000000001
-0.41836734693877553,1.1326530612244898,55.81
-0.41836734693877553,1.163265306122449,46.25
-0.41836734693877553,1.193877551020408,149.99
-0.41836734693877553,1.2244897959183674,50.86
-0.41836734693877553,1.2551020408163265,16.39
-0.41836734693877553,1.2857142857142856,149.99
-0.41836734693877553,1.316326530612245,149.99
-0.41836734693877553,1.346938775510204,149.99
-0.41836734693877553,1.3775510204081631,50.77
-0.41836734693877553,1.4081632653061225,37.14
-0.41836734693877553,1.4387755102040816,111.43
-0.41836734693877553,1.4693877551020407,59.19
-0.41836734693877553,1.5,48.870000000000005
-0.37755102040816324,0.0,149.99
-0.37755102040816324,0.030612244897959183,48.56
