delta,omega,steady_time
0.02040816326530612,4.26530612244898,31.310000000000002
0.02040816326530612,4.357142857142858,19.72
0.02040816326530612,4.448979591836735,144.1
0.02040816326530612,4.540816326530613,149.99
0.02040816326530612,4.63265306122449,149.99
0.02040816326530612,4.724489795918368,149.79
0.02040816326530612,4.816326530612245,34.85
0.02040816326530612,4.908163265306123,56.370000000000005
0.02040816326530612,5.0,149.99
0.030612244897959183,0.5,149.99
0.030612244897959183,0.5918367346938775,144.93
0.030612244897959183,0.6836734693877551,149.99
0.030612244897959183,0.7755102040816326,149.99
0.030612244897959183,0.8673469387755102,149.99
0.030612244897959183,0.9591836734693877,149.99
0.030612244897959183,1.0510204081632653,149.99
0.030612244897959183,1.1428571428571428,149.99
0.030612244897959183,1.2346938775510203,149.99
0.030612244897959183,1.3265306122448979,149.99
