omega,amplitude
0.5,1.3387434224681607
0.5508474576271186,1.445850738929132
0.6016949152542372,1.8141879202676
0.652542372881356,1.680365954924753
0.7033898305084746,1.6177825353059798
0.7542372881355932,1.5823667269678758
0.8050847457627119,1.5656814404929364
0.8559322033898306,1.5694909640231094
0.9067796610169492,1.5776093954515233
0.9576271186440678,1.6150118951829981
1.0084745762711864,1.5989870472675847
1.0593220338983051,1.6208536408230325
1.1101694915254239,1.646023010461484
1.1610169491525424,1.6742794262335141
1.2118644067796611,1.7048163753631722
1.2627118644067798,1.7374406213716784
1.3135593220338984,1.772065292570633
1.3644067796610169,1.8084660703102542
1.4152542372881356,1.8468918596516974
1.4661016949152543,1.886906009151469
1.5169491525423728,1.9276607178930036
1.5677966101694916,1.9701454444542028
1.6186440677966103,2.0136921808723103
1.6694915254237288,2.058393329928459
1.7203389830508475,2.104046310715353
1.7711864406779663,2.1506099743338503
1.8220338983050848,2.1979700457765077
1.8728813559322035,2.2465423463016974
1.9237288135593222,2.295811337304704
1.9745762711864407,2.345574267046232
2.0254237288135597,2.396307245063733
2.076271186440678,2.44676942245252
2.1271186440677967,2.4982372602221083
2.1779661016949152,2.550152753072556
2.2288135593220337,2.602639473593192
2.2796610169491527,0.6415304234020565
2.330508474576271,0.5998314586492848
2.38135593220339,0.5624599190514323
2.4322033898305087,0.5302379897897525
2.483050847457627,0.5018422550608701
2.5338983050847457,0.4752586058373689
2.5847457627118646,0.45203557903765446
2.635593220338983,0.4299423779075962
2.6864406779661016,0.41007316097185975
2.7372881355932206,0.39174877503494465
2.788135593220339,0.37479068300908125
2.8389830508474576,0.35907081058676693
2.8898305084745766,0.34420655899121655
2.940677966101695,0.3302797735118743
2.9915254237288136,0.3176955656572572
3.0423728813559325,0.3057596824908718
3.093220338983051,0.29418117446973946
3.1440677966101696,0.28334795131238966
3.1949152542372885,0.27314114720029276
3.245762711864407,0.2641901259763847
3.2966101694915255,0.25515899175287093
3.3474576271186445,0.2466307831228295
3.398305084745763,0.2383806745807471
3.4491525423728815,0.2304817152620227
3.5,0.22345470592024447
