delta,gamma,steady_time
0.1163265306122449,3.4183673469387754,63.5
0.1163265306122449,3.4591836734693877,63.25
0.1163265306122449,3.5,63.0
0.12448979591836735,1.5,34.300000000000004
0.12448979591836735,1.5408163265306123,36.1
0.12448979591836735,1.5816326530612246,35.95
0.12448979591836735,1.6224489795918366,35.45
0.12448979591836735,1.663265306122449,37.25
0.12448979591836735,1.7040816326530612,34.65
0.12448979591836735,1.7448979591836735,36.15
0.12448979591836735,1.7857142857142856,35.9
0.12448979591836735,1.8265306122448979,37.4
0.12448979591836735,1.8673469387755102,40.400000000000006
0.12448979591836735,1.9081632653061225,9.9
0.12448979591836735,1.9489795918367347,69.75
0.12448979591836735,1.989795918367347,67.0
0.12448979591836735,2.0306122448979593,65.35000000000001
0.12448979591836735,2.071428571428571,63.900000000000006
0.12448979591836735,2.1122448979591835,62.75
0.12448979591836735,2.1530612244897958,61.95
0.12448979591836735,2.193877551020408,60.900000000000006
0.12448979591836735,2.2346938775510203,60.300000000000004
0.12448979591836735,2.2755102040816326,59.35
0.12448979591836735,2.316326530612245,58.800000000000004
0.12448979591836735,2.357142857142857,58.35
0.12448979591836735,2.3979591836734695,66.9
0.12448979591836735,2.4387755102040813,65.95
0.12448979591836735,2.479591836734694,65.5
0.12448979591836735,2.520408163265306,65.0
0.12448979591836735,2.561224489795918,64.15
0.12448979591836735,2.6020408163265305,63.75
0.12448979591836735,2.642857142857143,63.400000000000006
0.12448979591836735,2.683673469387755,62.6
0.12448979591836735,2.724489795918367,62.25
0.12448979591836735,2.7653061224489797,61.85
0.12448979591836735,2.8061224489795915,61.150000000000006
0.12448979591836735,2.8469387755102042,60.7
0.12448979591836735,2.887755102040816,60.300000000000004
0.12448979591836735,2.9285714285714284,60.0
0.12448979591836735,2.9693877551020407,59.35
0.12448979591836735,3.010204081632653,59.050000000000004
0.12448979591836735,3.0510204081632653,58.800000000000004
0.12448979591836735,3.091836734693877,58.650000000000006
0.12448979591836735,3.13265306122449,65.85000000000001
0.12448979591836735,3.1734693877551017,65.55
0.12448979591836735,3.2142857142857144,65.25
0.12448979591836735,3.2551020408163263,64.85000000000001
0.12448979591836735,3.2959183673469385,64.15
0.12448979591836735,3.336734693877551,63.800000000000004
0.12448979591836735,3.377551020408163,63.5
0.12448979591836735,3.4183673469387754,63.150000000000006
0.12448979591836735,3.4591836734693877,62.550000000000004
0.12448979591836735,3.5,62.300000000000004
0.1326530612244898,1.5,31.450000000000003
0.1326530612244898,1.5408163265306123,31.450000000000003
0.1326530612244898,1.5816326530612246,31.3
0.1326530612244898,1.6224489795918366,32.85
0.1326530612244898,1.663265306122449,32.75
0.1326530612244898,1.7040816326530612,34.25
0.1326530612244898,1.7448979591836735,34.2
0.1326530612244898,1.7857142857142856,35.65
0.1326530612244898,1.8265306122448979,37.15
0.1326530612244898,1.8673469387755102,38.550000000000004
0.1326530612244898,1.9081632653061225,41.25
0.1326530612244898,1.9489795918367347,70.35000000000001
0.1326530612244898,1.989795918367347,67.15
0.1326530612244898,2.0306122448979593,65.35000000000001
0.1326530612244898,2.071428571428571,63.900000000000006
0.1326530612244898,2.1122448979591835,62.6
0.1326530612244898,2.1530612244897958,61.85
0.1326530612244898,2.193877551020408,60.800000000000004
0.1326530612244898,2.2346938775510203,60.2
0.1326530612244898,2.2755102040816326,59.2
0.1326530612244898,2.316326530612245,58.650000000000006
0.1326530612244898,2.357142857142857,57.75
0.1326530612244898,2.3979591836734695,57.300000000000004
0.1326530612244898,2.4387755102040813,56.900000000000006
0.1326530612244898,2.479591836734694,56.050000000000004
0.1326530612244898,2.520408163265306,55.650000000000006
0.1326530612244898,2.561224489795918,55.25
0.1326530612244898,2.6020408163265305,54.5
0.1326530612244898,2.642857142857143,54.2
0.1326530612244898,2.683673469387755,62.35
0.1326530612244898,2.724489795918367,62.0
0.1326530612244898,2.7653061224489797,61.2
0.1326530612244898,2.8061224489795915,60.85
0.1326530612244898,2.8469387755102042,60.45
0.1326530612244898,2.887755102040816,60.050000000000004
0.1326530612244898,2.9285714285714284,59.35
0.1326530612244898,2.9693877551020407,59.050000000000004
0.1326530612244898,3.010204081632653,58.75
0.1326530612244898,3.0510204081632653,58.5
0.1326530612244898,3.091836734693877,57.900000000000006
0.1326530612244898,3.13265306122449,57.6
0.1326530612244898,3.1734693877551017,57.300000000000004
0.1326530612244898,3.2142857142857144,57.050000000000004
0.1326530612244898,3.2551020408163263,56.7
0.1326530612244898,3.2959183673469385,56.1
0.1326530612244898,3.336734693877551,55.75
0.1326530612244898,3.377551020408163,55.5
0.1326530612244898,3.4183673469387754,55.300000000000004
0.1326530612244898,3.4591836734693877,54.7
0.1326530612244898,3.5,54.45
0.14081632653061227,1.5,29.400000000000002
0.14081632653061227,1.5408163265306123,31.0
0.14081632653061227,1.5816326530612246,31.05
0.14081632653061227,1.6224489795918366,30.85
0.14081632653061227,1.663265306122449,32.45
0.14081632653061227,1.7040816326530612,32.300000000000004
0.14081632653061227,1.7448979591836735,33.95
0.14081632653061227,1.7857142857142856,33.65
0.14081632653061227,1.8265306122448979,35.15
0.14081632653061227,1.8673469387755102,36.5
0.14081632653061227,1.9081632653061225,39.300000000000004
0.14081632653061227,1.9489795918367347,61.900000000000006
0.14081632653061227,1.989795918367347,57.35
0.14081632653061227,2.0306122448979593,55.45
0.14081632653061227,2.071428571428571,63.75
0.14081632653061227,2.1122448979591835,62.45
0.14081632653061227,2.1530612244897958,61.300000000000004
0.14081632653061227,2.193877551020408,60.650000000000006
0.14081632653061227,2.2346938775510203,59.6
0.14081632653061227,2.2755102040816326,59.1
0.14081632653061227,2.316326530612245,58.400000000000006
0.14081632653061227,2.357142857142857,57.6
0.14081632653061227,2.3979591836734695,57.150000000000006
0.14081632653061227,2.4387755102040813,56.35
0.14081632653061227,2.479591836734694,55.900000000000006
0.14081632653061227,2.520408163265306,55.45
0.14081632653061227,2.561224489795918,54.650000000000006
0.14081632653061227,2.6020408163265305,54.300000000000004
0.14081632653061227,2.642857142857143,53.95
0.14081632653061227,2.683673469387755,53.35
0.14081632653061227,2.724489795918367,52.95
0.14081632653061227,2.7653061224489797,52.6
0.14081632653061227,2.8061224489795915,52.300000000000004
0.14081632653061227,2.8469387755102042,51.650000000000006
0.14081632653061227,2.887755102040816,51.300000000000004
0.14081632653061227,2.9285714285714284,51.0
0.14081632653061227,2.9693877551020407,58.800000000000004
0.14081632653061227,3.010204081632653,58.1
0.14081632653061227,3.0510204081632653,57.85
0.14081632653061227,3.091836734693877,57.6
0.14081632653061227,3.13265306122449,57.35
0.14081632653061227,3.1734693877551017,57.050000000000004
0.14081632653061227,3.2142857142857144,56.400000000000006
0.14081632653061227,3.2551020408163263,56.1
0.14081632653061227,3.2959183673469385,55.800000000000004
0.14081632653061227,3.336734693877551,55.5
0.14081632653061227,3.377551020408163,54.900000000000006
0.14081632653061227,3.4183673469387754,54.6
0.14081632653061227,3.4591836734693877,54.35
0.14081632653061227,3.5,54.1
0.1489795918367347,1.5,29.1
0.1489795918367347,1.5408163265306123,29.05
0.1489795918367347,1.5816326530612246,30.650000000000002
0.1489795918367347,1.6224489795918366,30.6
0.1489795918367347,1.663265306122449,30.400000000000002
0.1489795918367347,1.7040816326530612,32.0
0.1489795918367347,1.7448979591836735,31.85
0.1489795918367347,1.7857142857142856,33.35
0.1489795918367347,1.8265306122448979,33.1
0.1489795918367347,1.8673469387755102,34.45
0.1489795918367347,1.9081632653061225,35.550000000000004
0.1489795918367347,1.9489795918367347,9.8
0.1489795918367347,1.989795918367347,57.85
0.1489795918367347,2.0306122448979593,55.650000000000006
0.1489795918367347,2.071428571428571,54.050000000000004
0.1489795918367347,2.1122448979591835,52.75
0.1489795918367347,2.1530612244897958,51.650000000000006
0.1489795918367347,2.193877551020408,50.95
0.1489795918367347,2.2346938775510203,50.0
0.1489795918367347,2.2755102040816326,58.800000000000004
0.1489795918367347,2.316326530612245,57.900000000000006
0.1489795918367347,2.357142857142857,57.45
0.1489795918367347,2.3979591836734695,56.550000000000004
0.1489795918367347,2.4387755102040813,56.150000000000006
0.1489795918367347,2.479591836734694,55.75
0.1489795918367347,2.520408163265306,54.900000000000006
0.1489795918367347,2.561224489795918,54.5
0.1489795918367347,2.6020408163265305,54.150000000000006
