gamma,omega,steady_time
1.5816326530612246,3.3469387755102042,25.51
1.5816326530612246,3.438775510204082,30.580000000000002
1.5816326530612246,3.5306122448979593,28.900000000000002
1.5816326530612246,3.622448979591837,21.81
1.5816326530612246,3.7142857142857144,21.29
1.5816326530612246,3.806122448979592,19.150000000000002
1.5816326530612246,3.8979591836734695,17.28
1.5816326530612246,3.989795918367347,22.23
1.5816326530612246,4.081632653061225,24.42
1.5816326530612246,4.173469387755102,21.94
1.5816326530612246,4.26530612244898,19.89
1.5816326530612246,4.357142857142858,19.86
1.5816326530612246,4.448979591836735,21.8
1.5816326530612246,4.540816326530613,19.78
1.5816326530612246,4.63265306122449,19.650000000000002
1.5816326530612246,4.724489795918368,19.63
1.5816326530612246,4.816326530612245,19.7
1.5816326530612246,4.908163265306123,19.75
1.5816326530612246,5.0,19.82
1.6224489795918366,0.5,53.92
1.6224489795918366,0.5918367346938775,149.99
1.6224489795918366,0.6836734693877551,34.730000000000004
1.6224489795918366,0.7755102040816326,27.18
1.6224489795918366,0.8673469387755102,113.36
1.6224489795918366,0.9591836734693877,30.91
1.6224489795918366,1.0510204081632653,52.120000000000005
1.6224489795918366,1.1428571428571428,40.27
1.6224489795918366,1.2346938775510203,39.300000000000004
1.6224489795918366,1.3265306122448979,43.08
1.6224489795918366,1.4183673469387754,54.99
1.6224489795918366,1.5102040816326532,42.35
1.6224489795918366,1.6020408163265307,47.52
1.6224489795918366,1.6938775510204083,67.48
1.6224489795918366,1.7857142857142858,79.78
1.6224489795918366,1.8775510204081634,149.99
1.6224489795918366,1.969387755102041,47.15
1.6224489795918366,2.0612244897959187,149.99
1.6224489795918366,2.1530612244897958,149.99
1.6224489795918366,2.2448979591836737,149.99
1.6224489795918366,2.336734693877551,149.99
1.6224489795918366,2.428571428571429,135.05
1.6224489795918366,2.5204081632653064,113.91
1.6224489795918366,2.612244897959184,149.99
1.6224489795918366,2.7040816326530615,81.82000000000001
1.6224489795918366,2.795918367346939,10.56
1.6224489795918366,2.8877551020408165,19.53
1.6224489795918366,2.979591836734694,149.99
1.6224489795918366,3.0714285714285716,33.95
