time,x,v
0.0,0.0,0.0
0.01,0.000125,0.024973125083322455
0.02,0.0004994625016664492,0.04988882943654252
0.03,0.0011227765887308503,0.07473975534352048
0.04,0.0019942576085368586,0.09951853810915214
0.05,0.003113147350913893,0.12421783247920884
0.06,0.0044786142581210355,0.14883031574205605
0.07,0.006089753665755014,0.17334869078940424
0.08,0.007945588073909122,0.19776568909901507
0.09,0.010045067447735317,0.22207407362613718
0.1,0.012387069546431866,0.24626664159096107
0.11,0.01497040027955454,0.2703362271499661
0.12,0.01779379408943119,0.294275703939661
0.13,0.02085591435834776,0.3180779874818885
0.14,0.02415535383906896,0.341736037440573
0.15,0.027690635107159224,0.365242859720537
0.16,0.0314602110334797,0.38859150839978845
0.17,0.03546246527515499,0.411775087487496
0.18,0.039695712783229614,0.43478675250070553
0.19,0.044158200325169095,0.4576197118537178
0.2,0.04884810702030397,0.48026722805493754
0.21,0.05376354488626785,0.5027226187069097
0.22,0.05890255939444217,0.5249792573061888
0.23,0.06426313003239163,0.5470305738406247
0.24,0.06984317087125468,0.5688700551826043
0.25,0.07564053113604373,0.5904912452777457
0.26,0.0816529957768096,0.611887745129514
0.27,0.087878286038634,0.633053212581195
0.28,0.09431406002843348,0.6539813618976351
0.29,0.1009579132765867,0.6746659631501283
0.3,0.10780737929143605,0.6951008414087918
0.31,0.11485993010476253,0.7152798757477331
0.32,0.1221129768063907,0.7351969980692585
0.33,0.1295638700661477,0.7548461917543101
0.34,0.1372099006414769,0.77422149014724
0.35000000000000003,0.14504829986909248,0.7933169748839392
0.36,0.1530762401391557,0.812126774073224
0.37,0.161290835350557,0.8306450603422515
0.38,0.16968914134600074,0.8488660487575811
0.39,0.17826815632570864,0.8667839946343205
0.4,0.18702482123868716,0.8843931912465879
0.41000000000000003,0.1959560201506404,0.9016879674532894
0.42,0.20505858058775298,0.9186626852539503
0.43,0.21432927385571943,0.9353117372900415
0.44,0.22376481533355383,0.951629544307916
0.45,0.23336186474187778,0.9676105526001116
0.46,0.24311702638555607,0.9832492314423723
0.47000000000000003,0.2530268493707252,0.9985400705443097
0.48,0.26308782779644224,1.0134775775321463
0.49,0.27329640092136814,1.0280562754824656
0.5,0.2836489533060916,1.0422707005263354
0.51,0.2941418149318949,1.056115399543561
0.52,0.30477126129696286,1.0695849279671759
0.53,0.3155335134912384,1.0826738477185724
0.54,0.32642473825133433,1.0953767252939275
0.55,0.337441047997117,1.1076881300227661
0.56,0.34857850085178965,1.1196026325196533
0.5700000000000001,0.35983310064751006,1.13111480335008
0.58,0.37120079691879126,1.1422192119316357
0.59,0.3826774848861428,1.1529104256915204
0.6,0.39425900543262166,1.1631830095013422
0.61,0.40594114507616963,1.1730315254099797
0.62,0.41771963594082123,1.1824505326950419
0.63,0.4295901557300704,1.191434588253151
0.64,0.4415483277058842,1.1999782473488794
0.65,0.453589720677048,1.2080760647417048
0.66,0.4657098490007183,1.2157225962098042
0.67,0.4779041726012441,1.2229124004888672
0.68,0.4901680970104957,1.2296400416433981
0.6900000000000001,0.502496973434112,1.2359000918871603
0.7000000000000001,0.5148860988482389,1.24168713486852
0.71,0.5273307161314824,1.2469957694354483
0.72,0.5398260142369478,1.251820613893851
0.73,0.5523671284093594,1.256156310771697
0.74,0.5649491404523816,1.2599975321001284
0.75,0.577567079051362,1.263338985221336
0.76,0.5902159201568085,1.266175419131482
0.77,0.6028905874339916,1.2685016313653474
0.78,0.6155859527841154,1.270312475427666
0.79,0.628296836942545,1.271602868774291
0.8,0.6410180101596012,1.272367801344417
0.81,0.6537441929694333,1.2726023446430481
0.8200000000000001,0.6664700570524622,1.2723016613707772
0.8300000000000001,0.6791902261968489,1.2714610155957082
0.84,0.6918992773643764,1.270075783460027
0.85,0.7045917418660493,1.2681414644113052
0.86,0.7172621066526025,1.2656536929461177
0.87,0.7299048157249718,1.2626082508509608
0.88,0.7425142716696217,1.2590010799227984
0.89,0.7550848373234277,1.2548282951488294
0.9,0.7676108375725982,1.2500861983222844
0.91,0.7800865612898733,1.2447712920682181
0.92,0.7925062634139625,1.2388802942503956
0.93,0.8048641671748812,1.2324101527274658
0.9400000000000001,0.8171544664685119,1.2253580604237093
0.9500000000000001,0.8293713283833554,1.2177214706767372
0.96,0.8415088958820466,1.209498112821628
0.97,0.8535612906397879,1.2006860079681319
0.98,0.8655226160414092,1.191283484924769
0.99,0.8773869603382833,1.1812891962209109
1.0,0.8891483999658275,1.1707021341752848
1.01,0.9008010030217891,1.1595216469568088
1.02,0.9123388329049636,1.147747454581244
1.03,0.923755952113414,1.1353796647848986
1.04,0.9350464262006617,1.122418788714518
1.05,0.9462043278877044,1.1088657563706017
1.06,0.9572237413280738,1.0947219317396948
1.07,0.9680987665224983,1.0799891275497533
1.08,0.9788235238790688,1.0646696195814782
1.09,0.9893921589141279,1.0487661604675949
1.1,0.9997988470884208,1.0322819929114218
1.11,1.0100377987723563,1.015220862255759
1.12,1.020103264333536,0.9975870283331425
1.1300000000000001,1.0299895393390193,0.9793852765288694
1.1400000000000001,1.0396909698641135,0.9606209279889282
1.1500000000000001,1.0492019578987979,0.9412998489060592
1.16,1.0585169668422345,0.9214284588186574
1.17,1.067630527075171,0.9010137378590991
1.18,1.0765372415994163,0.8800632328903499
1.19,1.085231791732978,0.8585850624723828
1.2,1.0937089428488642,0.8365879206030091
1.21,1.1019635501450382,0.8140810791812017
1.22,1.1099905644324883,0.7910743891448501
1.23,1.1177850379279353,0.7675782802391434
1.24,1.1253421300372712,0.7436037593763907
1.25,1.132657113115463,0.7191624075530675
1.26,1.1397253781883325,0.6942663752951896
1.27,1.146542440621367,0.6689283766087374
1.28,1.1531039457205075,0.643161681417768
1.29,1.1594056742497223,0.6169801064790277
1.3,1.165443547850088,0.5903980047682721
1.31,1.1712136343450879,0.5634302533400963
